Невский проспект 15
набережная реки Фонтанки 77
улица Садовая 12
Литейный проспект 45
улица Марата 23
Большой проспект 32
улица Ленина 5
Каменноостровский проспект 67
улица Восстания 43
Средний проспект 18
улица Чайковского 34
Малый проспект 3
улица Гороховая 65
набережная реки Мойки 112
улица Рубинштейна 23
улица Белинского 8
улица Жуковского 15
улица Достоевского 19
улица Радищева 24
улица Маяковского 36
улица Некрасова 42
улица Рылеева 15
улица Ломоносова 23
улица Декабристов 45
Большая Морская улица 24
улица Марата 54
улица Гражданская 14
улица Пестеля 11
улица Миллионная 27
улица Марата 32

